user_nIdx,UserName,conad,guide,cola,ocgnn,dmgd,Degree
440,小happy点,1,0,0,1,0,1.0
441,Gyana_J,0,0,0,0,0,1.0
442,Domiso武士,0,0,0,0,0,1.0
443,Popure_,0,0,0,1,0,1.0
444,一大颗大桔子,0,0,0,0,0,3.0
445,MelancholyZmon,0,0,0,1,0,2.0
446,MisterGenessyLeong,0,0,0,0,0,1.0
447,大眼贼让我说话天塌不了,0,0,0,0,0,1.0
448,odd__y,0,0,0,0,0,1.0
449,陳陈陈C__,0,0,0,0,0,1.0
450,Vivi___ZHOU要好好读书,0,0,0,0,0,1.0
451,小叻ROKA,0,0,0,1,0,3.0
452,周笑穿,0,0,0,0,0,1.0
453,strong_nn,0,0,0,0,0,1.0
454,Chersan_,0,0,0,0,0,1.0
455,尘世间见,0,0,0,0,0,1.0
456,灬浩晖晖晖晖晖晖,0,0,0,0,0,1.0
457,M一颗洋葱,1,0,0,0,0,1.0
458,老周叔叔啊,0,0,0,0,0,1.0
459,桂陵君,0,1,1,0,1,20.0
460,林启裕Jim,0,0,1,1,1,1.0
461,張家_四少,0,0,0,0,0,1.0
462,虾乐B1996,0,0,0,0,0,1.0
463,你害想咋滴,0,0,0,0,0,1.0
464,__Huu__,0,0,0,0,0,1.0
465,胡同酱肉,0,0,0,0,0,3.0
466,萌纸,1,0,0,0,0,1.0
467,我门牙碎了,0,0,0,0,0,1.0
468,一只熊诶,0,0,0,0,0,1.0
469,宇智波带球过人,0,0,0,0,0,1.0
470,_负加号,0,0,0,0,0,1.0
471,Davidtheotaku,0,0,0,0,0,1.0
472,九处,1,0,0,0,0,1.0
473,Saint343,0,0,0,1,0,1.0
474,从前有只咩萝poi,0,0,0,0,0,1.0
475,BL青涩UE,0,0,0,0,0,1.0
476,红空岛寺,0,0,0,1,1,1.0
477,好名子都被别人起了,0,0,0,0,0,1.0
478,废柴阿潜,0,0,0,0,0,1.0
479,被子好冷,0,0,0,0,0,1.0
480,二十七要努力赚钱给66开皇帝,0,0,0,0,0,1.0
481,饭岛靖贵-,0,0,0,0,0,1.0
482,Alery若梦梦,0,0,0,0,0,1.0
483,子路我擦勒,0,0,0,0,0,1.0
484,一份糖炒栗栗子,0,0,0,1,0,2.0
485,来栖蓝,1,0,0,0,0,1.0
486,Sweet_VioleT,0,0,0,0,0,1.0
487,iYaF-,0,0,0,0,0,1.0
488,渐行渐近近个锤子,0,0,0,1,0,1.0
489,Lu5h1ife,0,0,0,0,0,1.0
490,Ray_约定湘南,0,0,0,0,0,1.0
491,Cynicus,0,0,0,0,0,1.0
492,某科学的超中二病,0,0,0,0,0,1.0
493,CyyyyyC233,0,0,1,0,0,1.0
494,大头_红警13,0,0,0,0,0,1.0
495,PM训练家Damian,0,0,0,0,0,1.0
496,月似旧时梦,0,0,0,1,0,1.0
497,要拓宽生命的质量啊-,0,0,0,0,0,2.0
498,WarfarinAnalogue,0,0,0,1,1,2.0
499,9u4p,0,0,0,0,0,1.0
500,步尘烟今天吃好吃的了吗,0,0,0,0,0,1.0
501,白鹤行云,0,0,0,0,0,1.0
502,CROW-32,0,0,0,0,0,1.0
503,木凫连个洬,0,0,0,0,0,1.0
504,行走不回头,0,0,0,0,0,1.0
505,playingapart,0,0,0,0,0,1.0
506,爱空翻斯坦,0,0,0,0,0,1.0
507,drizzle在等不高兴,0,0,0,0,0,1.0
508,彷徨的向日葵,0,0,0,0,0,2.0
509,GanChongren,0,1,0,0,0,1.0
510,飞哥皇冠瑜伽会所,0,0,0,0,0,1.0
511,三千院凰,0,0,0,0,0,1.0
512,SheepishRicardo,0,0,1,0,0,1.0
513,理想未三旬,0,0,1,0,0,2.0
514,回收不明白小羊,0,0,0,0,0,1.0
515,陪苏老师度过漫长岁月,1,0,0,0,0,1.0
516,神奇霸王炮竹,0,0,0,0,0,1.0
517,-YanHal-,0,0,0,0,0,1.0
518,关老师就是我,0,0,0,0,0,1.0
519,Absurdus_,0,0,1,0,1,5.0
520,骑着蜗牛追海马,0,0,0,1,0,1.0
521,不麻麻我爱睡觉,0,0,0,0,0,1.0
522,魔化铭文Tisiphone,0,0,0,0,0,1.0
523,门前大桥下游过一群唐老鸭,0,0,1,1,0,1.0
524,神秘绅士男,0,0,0,0,0,1.0
525,园长阿刘,0,0,0,0,0,1.0
526,是听听阿,0,0,0,0,0,1.0
527,廷廷且重开66,0,1,0,1,1,8.0
528,普普通通的朋友,0,0,0,0,0,1.0
529,__雪儿_,0,0,0,0,0,1.0
530,御座的羊小咩,0,0,0,0,0,1.0
531,濁涇清渭,0,0,0,0,0,2.0
532,Yahoohsu_EX,0,0,0,1,1,1.0
533,SCP破孩,0,0,0,0,0,1.0
534,元气满满bou,0,0,0,1,1,4.0
535,魔神双破斩,0,0,0,0,0,1.0
536,千树Erk,0,1,0,0,1,10.0
537,重庆Chika酱,1,0,0,0,0,3.0
538,铁胆高铁侠,0,0,0,0,0,1.0
539,家中野猫,0,0,0,0,0,1.0
540,真新镇的大木博士,0,0,0,0,0,1.0
541,SiufayK,0,0,0,0,0,1.0
542,风之鱼丸,0,0,0,0,0,1.0
543,绿橙酸,0,0,0,0,0,1.0
544,小徐摸鱼中,0,0,0,1,0,1.0
545,错过你笑,0,0,0,0,0,1.0
546,你也不要太伤心了,0,0,0,0,0,1.0
547,X-POINT,0,0,0,0,0,1.0
548,带路走去云端,0,0,0,1,0,1.0
549,暂约的记忆,0,0,0,0,0,1.0
550,NoNo纸,0,0,0,0,0,1.0
551,被玩坏的史莱姆夜,0,0,0,0,0,1.0
552,想和你去冲浪,0,0,0,0,0,1.0
553,mohadu,0,0,0,0,0,1.0
554,笨蛋笨蛋Baka,1,0,0,0,0,1.0
555,给大佬递冰阔落,0,0,0,1,0,1.0
556,漪贰叁肆,0,0,0,0,0,1.0
557,浮生梦行1987,0,0,0,0,0,1.0
558,路向南MR,0,0,0,0,1,7.0
559,某某宇Lee,0,0,0,0,0,1.0
560,叫某人丶,0,0,0,0,0,1.0
561,XIE_______,1,0,0,0,0,1.0
562,幻痛sama,0,0,0,0,0,1.0
