Label,D1,D2
4.0,25.481098,35.932747
4.0,-32.75313,-0.33070427
0.0,67.295784,28.422346
4.0,-27.956924,-58.763474
4.0,-19.324598,-35.81788
2.0,-49.17327,27.506315
0.0,91.93279,-24.560772
0.0,-52.566494,43.7469
4.0,5.554928,26.305372
3.0,-73.912,-2.9294708
0.0,47.617077,6.882122
2.0,-46.36315,6.9765244
0.0,52.711864,-24.277664
0.0,-49.587826,47.23652
2.0,-58.95978,-5.7249517
4.0,-9.607521,38.812595
0.0,-67.92462,32.605488
4.0,16.483597,-34.27639
0.0,-7.001673,-69.27588
0.0,-64.710625,14.293409
4.0,-10.501157,-3.079864
4.0,27.65932,-62.814846
4.0,-22.600433,47.271606
4.0,-24.32826,-12.933134
4.0,10.265594,8.786459
4.0,11.0292,-7.858522
4.0,-39.3136,-61.28436
4.0,17.012367,-50.691338
4.0,26.821026,-40.17097
4.0,27.99044,51.564777
0.0,-53.565968,42.67881
4.0,-18.811064,-47.754498
0.0,71.74722,18.051708
4.0,29.641222,-47.877308
0.0,11.878867,-21.943863
4.0,-34.679657,-47.0713
0.0,65.20339,42.195175
4.0,34.104305,-56.80263
4.0,-17.416006,23.622492
4.0,-45.545475,-16.845036
4.0,7.4896507,26.157074
0.0,-62.136997,35.25155
2.0,-39.431675,21.850904
4.0,-19.863249,-34.807957
4.0,-72.21029,10.185388
0.0,31.618433,7.7716656
3.0,-71.79231,-4.660903
4.0,40.940952,54.572544
2.0,-48.370213,-5.1194954
4.0,-30.094969,70.262955
4.0,2.909747,-69.41945
4.0,-45.382984,-59.492413
4.0,19.767582,13.691063
4.0,21.26957,16.476593
4.0,48.02988,53.464764
0.0,71.699196,57.69862
4.0,25.645725,27.867662
4.0,27.963108,-21.186642
4.0,-34.620136,-11.659691
4.0,-48.09311,-24.921818
4.0,17.830343,-29.185297
4.0,19.891361,-4.958394
4.0,19.842575,-4.9663997
0.0,-78.98201,46.954807
4.0,-20.35918,-47.867004
4.0,-5.8027663,-64.31441
0.0,-20.47707,102.56877
4.0,-29.28971,-30.401264
4.0,31.311972,9.219739
2.0,-41.07216,26.177143
4.0,7.7773414,35.148857
0.0,51.165806,-18.894201
2.0,-27.224836,21.37267
0.0,2.956046,-43.430122
0.0,1.6795833,-47.12438
2.0,-40.92361,26.171474
4.0,-14.061678,-33.148537
2.0,-57.11972,11.945704
0.0,16.67785,80.90556
4.0,-47.21245,-24.613008
4.0,-20.621706,38.132202
4.0,-8.20301,-20.941957
0.0,47.26468,6.741614
0.0,57.8215,-34.171734
0.0,-18.939558,102.37097
4.0,35.389454,21.008835
4.0,-29.467422,-53.81071
4.0,-11.205559,-1.5978276
4.0,-31.039528,5.7674747
0.0,32.07623,-83.009544
4.0,12.210454,-42.86002
4.0,-34.045776,73.535484
4.0,-53.321377,-6.1367474
4.0,18.354763,-35.99215
2.0,-51.65918,7.446701
4.0,17.379223,42.506363
4.0,-17.684248,-37.38421
4.0,20.923817,-38.49436
4.0,19.134872,8.030764
4.0,30.49886,42.676098
4.0,-11.02946,75.13653
2.0,-35.60512,40.742188
0.0,-78.232834,-32.20788
2.0,-35.26825,27.969633
4.0,-44.88973,-17.30053
4.0,-41.276646,-30.521042
2.0,-40.76104,16.870104
4.0,39.3802,51.088905
4.0,45.448692,23.794333
0.0,62.835983,-8.038561
4.0,-11.098271,65.672325
0.0,72.333176,-4.469168
