Description,DescriptionLen,SpecialChar,UserGender,UserFan,UserFollow,UserWeibo,UserVerified,LoyalFan,Vip
1.0,8.0,0.0,0.0,276.0,399.0,8763.0,0.0,0.0,0.0
1.0,11.0,1.0,0.0,21.0,17.0,8.0,0.0,0.0,0.0
1.0,7.0,0.0,1.0,920.0,2028.0,6679.0,0.0,0.0,0.0
1.0,10.0,0.0,0.0,228.0,557.0,5074.0,0.0,0.0,0.0
1.0,7.0,0.0,1.0,119.0,681.0,1243.0,0.0,0.0,0.0
1.0,18.0,0.0,1.0,2692.0,36.0,39.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,63.0,380.0,148.0,0.0,0.0,0.0
1.0,10.0,1.0,1.0,21899.0,337.0,47.0,0.0,0.0,1.0
1.0,6.0,1.0,1.0,358.0,499.0,5868.0,0.0,0.0,1.0
1.0,9.0,1.0,1.0,211.0,418.0,312.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,202.0,592.0,696.0,0.0,0.0,0.0
1.0,2.0,0.0,1.0,69.0,184.0,421.0,0.0,0.0,0.0
1.0,1.0,2.0,1.0,79.0,202.0,5317.0,0.0,0.0,0.0
1.0,28.0,4.0,1.0,364.0,165.0,38.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,9.0,2.0,0.0,0.0,0.0
1.0,44.0,21.0,1.0,136.0,78.0,4989.0,0.0,0.0,0.0
1.0,41.0,10.0,1.0,1622.0,479.0,12020.0,0.0,0.0,0.0
1.0,16.0,0.0,0.0,505.0,794.0,8027.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0,493.0,879.0,1784.0,0.0,0.0,0.0
1.0,6.0,0.0,1.0,22.0,17.0,435.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,95.0,288.0,1584.0,0.0,0.0,0.0
1.0,8.0,1.0,1.0,829.0,777.0,8132.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,202.0,1391.0,157.0,0.0,0.0,0.0
1.0,13.0,2.0,0.0,2631.0,351.0,35008.0,1.0,0.0,0.0
1.0,7.0,0.0,0.0,1076.0,631.0,874.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,186.0,302.0,498.0,0.0,0.0,0.0
1.0,6.0,0.0,1.0,213.0,347.0,6772.0,0.0,0.0,1.0
1.0,13.0,1.0,1.0,1768.0,5009.0,146598.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,74.0,130.0,242.0,0.0,0.0,0.0
1.0,8.0,0.0,1.0,29728.0,992.0,360.0,1.0,0.0,1.0
1.0,14.0,2.0,1.0,1553.0,2553.0,17732.0,1.0,0.0,0.0
1.0,18.0,0.0,1.0,588.0,868.0,7300.0,0.0,0.0,0.0
1.0,21.0,2.0,0.0,635.0,618.0,2818.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,490.0,501.0,3320.0,0.0,0.0,0.0
1.0,8.0,0.0,0.0,94.0,138.0,6095.0,0.0,0.0,0.0
1.0,9.0,0.0,1.0,9506.0,612.0,1682.0,0.0,0.0,0.0
1.0,14.0,0.0,1.0,114.0,158.0,1737.0,0.0,0.0,0.0
1.0,25.0,4.0,1.0,52.0,352.0,1615.0,0.0,0.0,0.0
1.0,10.0,0.0,1.0,121.0,242.0,321.0,0.0,0.0,0.0
1.0,4.0,0.0,1.0,69.0,159.0,203.0,0.0,0.0,0.0
1.0,32.0,1.0,0.0,493.0,358.0,683.0,0.0,0.0,0.0
1.0,9.0,0.0,0.0,184.0,521.0,925.0,0.0,0.0,0.0
1.0,4.0,0.0,1.0,96.0,211.0,166.0,0.0,0.0,0.0
1.0,0.0,3.0,0.0,52.0,676.0,13300.0,0.0,0.0,0.0
1.0,2.0,0.0,0.0,271.0,1987.0,9634.0,0.0,0.0,0.0
