UserID,IndexList,UserName,TotalComment,Comment,Reply,LikeCount,ProvinceCode,Description,DescriptionLen,SpecialChar,UserGender,UserFan,UserFollow,UserWeibo,UserVerified,LoyalFan,VipRank
1683611284,[1561],奶爸雪过云清,1,1,0,0,4,1,4,0,1,2118,2371,2980,0,0,0
1683698097,[2818],Allen-Z,1,1,0,0,19,1,3,0,1,1521,1502,14426,0,1,0
1684153681,[1468],风咏,1,1,0,0,12,1,12,2,1,164,310,1007,0,0,0
1685316105,[1432],昨天炖的鱼,1,1,0,0,0,1,9,0,1,541,531,1208,0,0,0
1687523183,[3050],醉筠子-躺了,1,0,1,0,12,1,13,0,0,476,2114,10193,0,0,0
1687913554,[2966],ar峯,1,1,0,0,13,1,7,4,1,561,817,2920,0,0,0
1689756673,[2247],能不能跪下来听我道歉,1,1,0,0,33,1,22,12,1,1000,2274,8945,0,1,0
1691660281,"[2618, 2642]",我爱开封菜,2,2,0,311,10,0,0,0,1,19,265,265,0,0,0
1694955837,[738],NickHoward,1,1,0,0,0,1,5,0,1,561,139,1905,0,1,0
1695757775,[1318],喵和仓鼠是一家,1,1,0,0,15,1,14,0,1,146,192,363,0,0,0
1698924032,[2438],丨Sternen丨,1,1,0,0,2,1,14,0,0,15,56,5344,0,0,0
1699374192,"[2237, 2242]",Mr小輝,2,2,0,0,12,1,14,2,1,272,157,2234,0,0,0
1701060440,[299],阿次次饭团咪,1,1,0,1,21,1,12,1,1,304,306,3573,0,0,6
1709630481,[2064],333Repeat,1,1,0,0,2,1,16,4,0,631,406,3822,0,0,0
1714750834,"[3370, 3386]",鵺之梦,2,0,2,7,19,1,8,0,1,566,613,10056,0,0,0
1715740525,[2909],馬将军1989,1,1,0,0,0,1,11,1,1,2167,936,24037,1,0,7
1717252711,[427],逆天围脖_,1,1,0,0,12,0,0,0,1,55,430,8498,0,0,0
1717878977,"[1232, 1233]",OK小团长-,2,2,0,0,4,1,2,0,1,3057,2984,2984,0,0,0
1718115964,[2184],bozi_Wong,1,1,0,0,12,0,0,0,1,221,238,859,0,0,0
1719094894,[3470],天缘skylove,1,1,0,0,6,1,6,0,1,661,387,4599,0,0,0
1721096463,[706],无情大手子,1,1,0,0,10,1,4,0,1,294,223,1732,0,0,0
1722678992,[151],狗狗是小腿子还是九九更是肘肘,1,1,0,0,4,0,0,0,1,142,93,2362,0,0,0
1724121684,[2504],一吉desu,1,1,0,0,12,1,8,1,1,51,287,12,0,0,0
1724212194,[3801],吮指原,1,1,0,0,0,1,14,2,1,7158,914,10128,1,0,0
1731498863,[3809],凌晨一点改微博名,1,1,0,0,16,1,5,0,0,114,277,3031,0,0,0
1731597137,"[862, 955]",_肉山小魔王-此号已废,2,2,0,0,4,1,1,0,1,1007,333,498,0,0,0
1731827487,[469],无语PK,1,1,0,2,12,1,17,0,1,1163,535,2814,0,0,0
1732879834,[3831],焦糖-_-,1,0,1,0,7,1,10,1,1,93,332,1326,0,0,5
1732976173,[1044],Abnaq3idmos,1,1,0,0,0,1,20,1,1,956,2573,19924,0,0,0
1733238601,[1854],当艾来敲门,1,1,0,0,16,1,12,1,1,849,70,439,0,0,0
1733625343,[2975],BoTakWong,1,1,0,0,12,1,36,2,1,630,1163,2028,0,0,0
1734408052,[324],TaTaG,1,1,0,0,12,1,14,3,1,1657,673,8708,0,0,6
1734544555,[556],Morgana_5,1,1,0,0,6,1,30,4,0,355,552,7783,0,0,0
1737316131,[3141],Jshiro,1,1,0,0,12,1,7,2,1,42,96,518,0,0,0
1739302677,[1365],進擊的暖寶寶-T_T,1,1,0,0,12,1,5,6,0,556,999,14117,0,0,0
1740544170,[1702],不爱发博王左军,1,1,0,0,13,0,0,0,0,53,699,5546,0,0,0
1741030140,[1567],-夫_子-,1,1,0,0,12,1,14,2,1,13396,2036,5298,1,0,5
1741443377,[1895],Tom同学哈哈哈,1,1,0,0,34,1,15,1,1,23116,1543,20965,1,0,0
1742263102,[1844],粗超人,1,1,0,0,2,1,5,0,1,189,565,152,0,0,0
1745574155,[1039],夏天小熊猫_,1,1,0,0,0,1,10,1,1,344,323,730,0,0,0
1745636971,[850],剪不动了,1,1,0,0,21,0,0,0,1,581,868,1444,0,0,0
1746572002,[2255],我不是蛐蛐,1,1,0,1,21,1,5,0,1,28135,4540,22628,0,0,0
1748149010,[943],桃黑亭,1,1,0,0,26,1,3,0,1,220,454,5835,0,1,0
1749570052,[273],suuji,1,1,0,0,12,1,9,1,1,649,201,7402,0,0,0
1750883000,[2739],暂时冧唔到冧到话你知,1,1,0,0,12,0,0,0,0,2543,627,704,0,0,0
1751025977,[2526],Yama丶M,1,1,0,0,2,0,0,0,1,26,278,382,0,0,0
1751638537,[1078],这是小孟呀,1,1,0,0,0,1,70,4,0,1185,592,2022,0,0,0
1752860604,[1608],猴猴我啊想飞,1,1,0,0,0,1,38,8,0,344,515,11629,0,0,0
